partID,measure,movement,leg,result_n,result_bw
A01,VertPeak,Drop,Double,1878.942688,2.7310213488372095
A01,VertPeak,Drop,Single,1896.315826,2.7562730029069766
A01,VertPeak,Step,Double,2698.182266,3.9217765494186043
A01,VertPeak,Step,Single,1489.147171,2.164458097383721
A01,VertPeak,Dash,Double,2798.136353,4.067058652616279
A01,VertPeak,Dash,Single,1990.553017,2.893245664244186
A01,VertPeak,Kong,Double,3348.601013,4.867152635174419
A01,VertPeak,Kong,Single,2294.21962,3.334621540697674
A01,VertRFD,Drop,Double,23192,33.7093023255814
A01,VertRFD,Drop,Single,26859,39.03924418604651
A01,VertRFD,Step,Double,38513,55.9781976744186
A01,VertRFD,Step,Single,22596,32.843023255813954
A01,VertRFD,Dash,Double,59047,85.82412790697674
A01,VertRFD,Dash,Single,40244,58.49418604651163
A01,VertRFD,Kong,Double,92017,133.7456395348837
A01,VertRFD,Kong,Single,52597,76.44912790697674
A01,HorzPeak,Drop,Double,528.177704,0.7677001511627907
A01,HorzPeak,Drop,Single,385.683762,0.5605868633720931
A01,HorzPeak,Step,Double,654.229187,0.9509145159883722
A01,HorzPeak,Step,Single,311.861191,0.4532866148255814
A01,HorzPeak,Dash,Double,541.545517,0.7871301119186047
A01,HorzPeak,Dash,Single,213.575081,0.3104288968023256
A01,HorzPeak,Kong,Double,903.983948,1.3139301569767443
A01,HorzPeak,Kong,Single,614.133057,0.8926352572674419
A01,HorzRFD,Drop,Double,25113,36.50145348837209
A01,HorzRFD,Drop,Single,18997,27.611918604651162
A01,HorzRFD,Step,Double,16685,24.251453488372093
A01,HorzRFD,Step,Single,16152,23.476744186046513
A01,HorzRFD,Dash,Double,16820,24.447674418604652
A01,HorzRFD,Dash,Single,2212,3.2151162790697674
A01,HorzRFD,Kong,Double,49988,72.65697674418605
A01,HorzRFD,Kong,Single,42681,62.036337209302324
A01,ResultantPeak,Drop,Double,1890.3335015275318,2.7475777638481564
A01,ResultantPeak,Drop,Single,1901.2064522430985,2.7633814712835734
A01,ResultantPeak,Step,Double,2773.410634217445,4.031120107874194
A01,ResultantPeak,Step,Single,1503.1344379912186,2.1847884273128177
A01,ResultantPeak,Dash,Double,2818.9499292903743,4.097310943736009
A01,ResultantPeak,Dash,Single,1991.9809578231852,2.8953211596267225
A01,ResultantPeak,Kong,Double,3468.4745526681168,5.041387431203658
A01,ResultantPeak,Kong,Single,2367.495304569204,3.441126896176169
A01,ResultantAngle,Drop,Double,78.03459267925835,78.03459267925835
A01,ResultantAngle,Drop,Single,93.89105071466489,93.89105071466489
A01,ResultantAngle,Step,Double,75.02465630958476,75.02465630958476
A01,ResultantAngle,Step,Single,82.36657909790199,82.36657909790199
A01,ResultantAngle,Dash,Double,78.4322128306985,78.4322128306985
A01,ResultantAngle,Dash,Single,89.22587482398883,89.22587482398883
A01,ResultantAngle,Kong,Double,74.89263088410718,74.89263088410718
A01,ResultantAngle,Kong,Single,74.26425411790433,74.26425411790433
A02,VertPeak,Drop,Double,2200.649307,3.7173130185810814
A02,VertPeak,Drop,Single,1800.065125,3.040650548986487
A02,VertPeak,Step,Double,2703.25827,4.56631464527027
A02,VertPeak,Step,Single,2008.805016,3.3932517162162164
A02,VertPeak,Dash,Double,2284.930481,3.8596798665540537
A02,VertPeak,Dash,Single,1331.825283,2.2497048699324322
A02,VertPeak,Kong,Double,3186.11441,5.381950016891892
A02,VertPeak,Kong,Single,1912.534271,3.230632214527027
A02,VertRFD,Drop,Double,34881,58.920608108108105
A02,VertRFD,Drop,Single,26516,44.79054054054054
A02,VertRFD,Step,Double,83564,141.15540540540542
A02,VertRFD,Step,Single,39348,66.46621621621621
A02,VertRFD,Dash,Double,49915,84.31587837837837
A02,VertRFD,Dash,Single,19923,33.65371621621622
A02,VertRFD,Kong,Double,95405,161.15709459459458
A02,VertRFD,Kong,Single,2239,3.7820945945945947
A02,HorzPeak,Drop,Double,508.951752,0.8597157972972973
A02,HorzPeak,Drop,Single,277.668045,0.4690338597972973
A02,HorzPeak,Step,Double,666.300262,1.1255071993243242
A02,HorzPeak,Step,Single,352.893867,0.5961045050675675
A02,HorzPeak,Dash,Double,417.442261,0.7051389543918919
A02,HorzPeak,Dash,Single,130.002636,0.2195990472972973
A02,HorzPeak,Kong,Double,821.602264,1.387841662162162
A02,HorzPeak,Kong,Single,479.257675,0.809556883445946
A02,HorzRFD,Drop,Double,25584,43.21621621621622
A02,HorzRFD,Drop,Single,18165,30.68412162162162
A02,HorzRFD,Step,Double,24440,41.28378378378378
A02,HorzRFD,Step,Single,24086,40.685810810810814
A02,HorzRFD,Dash,Double,19090,32.24662162162162
A02,HorzRFD,Dash,Single,6736,11.378378378378379
A02,HorzRFD,Kong,Double,37589,63.494932432432435
A02,HorzRFD,Kong,Single,33457,56.5152027027027
A02,ResultantPeak,Drop,Double,2224.2026552808384,3.757099079866281
A02,ResultantPeak,Drop,Single,1806.3965296977208,3.051345489354258
A02,ResultantPeak,Step,Double,2811.8799326629846,4.749797183552339
A02,ResultantPeak,Step,Single,2012.2764699704333,3.39911565873384
A02,ResultantPeak,Dash,Double,2300.0656348255416,3.885246004772874
A02,ResultantPeak,Dash,Single,1331.8268384550122,2.249707497390223
A02,ResultantPeak,Kong,Double,3194.6725828873123,5.396406390012352
A02,ResultantPeak,Kong,Single,1968.0255423085134,3.324367470115732
A02,ResultantAngle,Drop,Double,81.60425740715606,81.60425740715606
A02,ResultantAngle,Drop,Single,95.7436324847961,95.7436324847961
A02,ResultantAngle,Step,Double,75.00041360213363,75.00041360213363
A02,ResultantAngle,Step,Single,87.06815144213907,87.06815144213907
A02,ResultantAngle,Dash,Double,85.75757975742577,85.75757975742577
A02,ResultantAngle,Dash,Single,89.91243258717604,89.91243258717604
A02,ResultantAngle,Kong,Double,76.15934939508453,76.15934939508453
A02,ResultantAngle,Kong,Single,76.43864246576341,76.43864246576341
A03,VertPeak,Drop,Double,1985.205933,2.8729463574529666
A03,VertPeak,Drop,Single,2253.881622,3.2617679044862515
A03,VertPeak,Step,Double,1869.132065,2.704966808972504
A03,VertPeak,Step,Single,1627.492479,2.3552713154848046
A03,VertPeak,Dash,Double,1916.306412,2.773236486251809
A03,VertPeak,Dash,Single,2092.4888,3.0282037626628076
A03,VertPeak,Kong,Double,2340.406433,3.3869847076700434
A03,VertPeak,Kong,Single,3001.390869,4.343546843704775
A03,VertRFD,Drop,Double,25529,36.94500723589002
A03,VertRFD,Drop,Single,34270,49.59479015918958
A03,VertRFD,Step,Double,35805,51.816208393632415
A03,VertRFD,Step,Single,19198,27.782923299565848
A03,VertRFD,Dash,Double,5519,7.986975397973951
A03,VertRFD,Dash,Single,6393,9.251808972503618
A03,VertRFD,Kong,Double,50130,72.54703328509407
A03,VertRFD,Kong,Single,50437,72.99131693198264
A03,HorzPeak,Drop,Double,404.361786,0.5851834819102749
A03,HorzPeak,Drop,Single,338.971954,0.4905527554269175
A03,HorzPeak,Step,Double,467.970917,0.6772372170767004
A03,HorzPeak,Step,Single,195.85965,0.2834437771345875
A03,HorzPeak,Dash,Double,411.648026,0.595727968162084
