partID,measure,movement,leg,result_n,result_bw
A01,VertPeak,Drop,Double,1878.942688,2.7310213488372095
A01,VertPeak,Drop,Single,1896.315826,2.7562730029069766
A01,VertPeak,Step,Double,2698.182266,3.9217765494186043
A01,VertPeak,Step,Single,1489.147171,2.164458097383721
A01,VertPeak,Dash,Double,2798.136353,4.067058652616279
A01,VertPeak,Dash,Single,1990.553017,2.893245664244186
A01,VertPeak,Kong,Double,3348.601013,4.867152635174419
A01,VertPeak,Kong,Single,2294.21962,3.334621540697674
A01,HorzPeak,Drop,Double,528.177704,0.7677001511627907
A01,HorzPeak,Drop,Single,385.683762,0.5605868633720931
A01,HorzPeak,Step,Double,654.229187,0.9509145159883722
A01,HorzPeak,Step,Single,311.861191,0.4532866148255814
A01,HorzPeak,Dash,Double,541.545517,0.7871301119186047
A01,HorzPeak,Dash,Single,213.575081,0.3104288968023256
A01,HorzPeak,Kong,Double,903.983948,1.3139301569767443
A01,HorzPeak,Kong,Single,614.133057,0.8926352572674419
A02,VertPeak,Drop,Double,2200.649307,3.7173130185810814
A02,VertPeak,Drop,Single,1800.065125,3.040650548986487
A02,VertPeak,Step,Double,2703.25827,4.56631464527027
A02,VertPeak,Step,Single,2008.805016,3.3932517162162164
A02,VertPeak,Dash,Double,2284.930481,3.8596798665540537
A02,VertPeak,Dash,Single,1331.825283,2.2497048699324322
A02,VertPeak,Kong,Double,3186.11441,5.381950016891892
A02,VertPeak,Kong,Single,1912.534271,3.230632214527027
A02,HorzPeak,Drop,Double,508.951752,0.8597157972972973
A02,HorzPeak,Drop,Single,277.668045,0.4690338597972973
A02,HorzPeak,Step,Double,666.300262,1.1255071993243242
A02,HorzPeak,Step,Single,352.893867,0.5961045050675675
A02,HorzPeak,Dash,Double,417.442261,0.7051389543918919
A02,HorzPeak,Dash,Single,130.002636,0.2195990472972973
A02,HorzPeak,Kong,Double,821.602264,1.387841662162162
A02,HorzPeak,Kong,Single,479.257675,0.809556883445946
A03,VertPeak,Drop,Double,1985.205933,2.8729463574529666
A03,VertPeak,Drop,Single,2253.881622,3.2617679044862515
A03,VertPeak,Step,Double,1869.132065,2.704966808972504
A03,VertPeak,Step,Single,1627.492479,2.3552713154848046
A03,VertPeak,Dash,Double,1916.306412,2.773236486251809
A03,VertPeak,Dash,Single,2092.4888,3.0282037626628076
A03,VertPeak,Kong,Double,2340.406433,3.3869847076700434
A03,VertPeak,Kong,Single,3001.390869,4.343546843704775
A03,HorzPeak,Drop,Double,404.361786,0.5851834819102749
A03,HorzPeak,Drop,Single,338.971954,0.4905527554269175
A03,HorzPeak,Step,Double,467.970917,0.6772372170767004
A03,HorzPeak,Step,Single,195.85965,0.2834437771345875
A03,HorzPeak,Dash,Double,411.648026,0.595727968162084
A03,HorzPeak,Dash,Single,192.543436,0.2786446251808973
A03,HorzPeak,Kong,Double,605.726501,0.8765940680173662
A03,HorzPeak,Kong,Single,593.533417,0.858948505065123
A04,VertPeak,Drop,Double,2237.005829,3.064391546575343
A04,VertPeak,Drop,Single,2184.316803,2.9922147986301373
A04,VertPeak,Step,Double,2135.074005,2.924758910958904
A04,VertPeak,Step,Single,1789.20186,2.4509614520547944
A04,VertPeak,Dash,Double,2167.610718,2.969329750684931
A04,VertPeak,Dash,Single,1608.782379,2.2038114780821916
A04,VertPeak,Kong,Double,2555.153809,3.500210697260274
A04,VertPeak,Kong,Single,2302.494995,3.154102732876712
A04,HorzPeak,Drop,Double,431.668991,0.5913273849315068
A04,HorzPeak,Drop,Single,114.653889,0.15706012191780822
A04,HorzPeak,Step,Double,571.454422,0.7828142767123288
A04,HorzPeak,Step,Single,233.590179,0.3199865465753425
A04,HorzPeak,Dash,Double,607.600372,0.8323292767123287
A04,HorzPeak,Dash,Single,106.259289,0.1455606698630137
A04,HorzPeak,Kong,Double,760.527008,1.0418178191780822
A04,HorzPeak,Kong,Single,489.829224,0.6709989369863014
A05,VertPeak,Drop,Double,2915.168579,4.605321609794629
A05,VertPeak,Drop,Single,2593.200867,4.096683834123223
A05,VertPeak,Step,Double,2386.314972,3.7698498767772515
A05,VertPeak,Step,Single,1707.849817,2.6980249873617694
A05,VertPeak,Dash,Double,2042.436554,3.2265980315955765
A05,VertPeak,Dash,Single,1215.090444,1.9195741611374406
A05,VertPeak,Kong,Double,3415.612274,5.395911965244866
A05,VertPeak,Kong,Single,4132.329254,6.528166278041074
A05,HorzPeak,Drop,Double,839.363129,1.3260081026856239
A05,HorzPeak,Drop,Single,619.529327,0.9787193159557661
A05,HorzPeak,Step,Double,664.548004,1.049838868878357
A05,HorzPeak,Step,Single,256.005589,0.4044322101105845
A05,HorzPeak,Dash,Double,486.231705,0.7681385545023697
A05,HorzPeak,Dash,Single,192.471268,0.30406203475513427
A05,HorzPeak,Kong,Double,916.737122,1.4482418988941548
A05,HorzPeak,Kong,Single,568.193138,0.8976194913112164
A06,VertPeak,Drop,Double,2998.402039,3.556823296559905
A06,VertPeak,Drop,Single,3024.870361,3.588221068801898
A06,VertPeak,Step,Double,3285.930176,3.897900564650059
A06,VertPeak,Step,Single,2637.928177,3.1292149193357055
A06,VertPeak,Dash,Double,3233.144287,3.8352838517200474
A06,VertPeak,Dash,Single,1623.056824,1.9253343107947805
A06,VertPeak,Kong,Double,4381.726807,5.197777944246738
A06,VertPeak,Kong,Single,3467.59314,4.113396370106761
A06,HorzPeak,Drop,Double,535.112183,0.6347712728351127
A06,HorzPeak,Drop,Single,214.702118,0.25468815895610913
A06,HorzPeak,Step,Double,651.535507,0.7728772325029657
A06,HorzPeak,Step,Single,303.859665,0.36045037366548044
A06,HorzPeak,Dash,Double,524.207733,0.6218359822064057
A06,HorzPeak,Dash,Single,94.528108,0.11213298695136419
A06,HorzPeak,Kong,Double,1129.759003,1.3401648908659547
A06,HorzPeak,Kong,Single,413.398193,0.490389315539739
A07,VertPeak,Drop,Double,1811.978119,2.2792177597484278
A07,VertPeak,Drop,Single,2489.870575,3.1319126729559748
A07,VertPeak,Step,Double,1634.714722,2.0562449333333332
A07,VertPeak,Step,Single,1934.795685,2.4337052641509436
A07,VertPeak,Dash,Double,2099.164658,2.640458689308176
A07,VertPeak,Dash,Single,1878.208862,2.3625268704402513
A07,VertPeak,Kong,Double,2373.714539,2.985804451572327
A07,VertPeak,Kong,Single,2367.119781,2.977509158490566
A07,HorzPeak,Drop,Double,393.986862,0.495580958490566
A07,HorzPeak,Drop,Single,153.169609,0.1926661748427673
A07,HorzPeak,Step,Double,396.113419,0.49825587295597484
A07,HorzPeak,Step,Single,99.094967,0.1246477572327044
A07,HorzPeak,Dash,Double,448.285522,0.5638811597484277
A07,HorzPeak,Dash,Single,55.208694,0.06944489811320755
A07,HorzPeak,Kong,Double,665.162048,0.8366818213836479
A07,HorzPeak,Kong,Single,369.071121,0.4642404037735849
B08,VertPeak,Drop,Double,1936.554047,2.4267594573934836
B08,VertPeak,Drop,Single,2529.158203,3.1693711817042605
B08,VertPeak,Step,Double,1727.650421,2.1649754649122808
B08,VertPeak,Step,Single,1509.824707,1.892010911027569
B08,VertPeak,Dash,Double,1832.081146,2.295841035087719
